timestamp,cpu_pct_1core,mem_mib,rx_bytes_per_sec,tx_bytes_per_sec,container_status
2026-09-22T01:42:04+0900,12.0,20.85,192166,1098937,running
2026-09-22T01:42:31+0900,8.0,20.85,141878,875723,running
2026-09-22T01:54:04+0900,10.0,20.85,182663,1510021,running
2026-09-22T02:21:39+0900,4.0,20.85,36024,503548,running
2026-09-22T02:33:58+0900,8.0,20.85,60774,1121157,running
2026-09-22T02:43:59+0900,7.67,20.85,58403,590226,running
2026-09-22T02:53:58+0900,7.67,20.85,60779,1121327,running
2026-09-22T03:03:58+0900,7.33,20.85,60657,1120879,running
2026-09-22T03:13:59+0900,7.33,20.85,58023,590019,running
2026-09-22T03:23:59+0900,7.33,20.85,59977,1087025,running
2026-09-22T03:33:59+0900,7.33,20.85,58429,590496,running
2026-09-22T03:43:59+0900,8.67,20.85,58772,590726,running
2026-09-22T03:53:59+0900,8.67,20.85,56988,591270,running
2026-09-22T04:03:59+0900,7.67,20.85,58522,591903,running
2026-09-22T04:13:58+0900,8.67,20.85,60955,1122584,running
2026-09-22T04:23:58+0900,8.33,20.85,60056,1122813,running
2026-09-22T04:33:59+0900,8.67,20.85,61087,1122188,running
2026-09-22T04:43:59+0900,8.0,20.85,60687,1019957,running
2026-09-22T04:54:00+0900,6.67,20.85,57323,689282,running
2026-09-22T05:03:59+0900,7.33,20.85,58345,590954,running
2026-09-22T05:13:59+0900,8.0,20.85,58557,591274,running
2026-09-22T05:23:59+0900,7.0,20.85,58377,590826,running
2026-09-22T05:33:59+0900,8.33,20.85,58312,648713,running
2026-09-22T05:43:58+0900,8.33,20.85,60899,1122515,running
2026-09-22T05:53:59+0900,7.0,20.85,56478,591306,running
2026-09-22T06:03:59+0900,7.0,20.85,57479,590963,running
2026-09-22T06:13:58+0900,7.0,20.85,60816,1122423,running
2026-09-22T06:14:11+0900,7.33,20.85,57363,459206,running
2026-09-22T06:14:41+0900,7.0,20.85,57845,472247,running
2026-09-22T06:15:00+0900,7.67,20.85,60893,1120014,running
